Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
18418252,815,1,87,7118,972,1025,77.282282,28.6328078,782,250,4,0,0,0,0,1,0.0,4,3,1
18163895,1098,1,87,4522,972,1025,77.2813787,28.6329113,331,450,4,0,0,0,0,1,0.0,4,3,0
18463999,1242,1,87,3647,972,1025,0.0,0.0,177,500,4,0,0,0,0,2,0.0,4,3,0
18438457,1728,1,87,6230,972,1025,77.2811812,28.6303968,518,300,4,0,0,0,0,1,0.0,4,3,1
300788,1879,1,87,6433,972,1025,77.2781757,28.6284726,1520,500,4,0,0,0,0,2,0.0,4,3,3
18438448,2397,1,87,8832,972,1025,77.2791263,28.6269121,518,300,4,0,0,0,0,1,0.0,4,3,0
18441706,2920,1,87,3179,972,1025,77.2819954,28.6322406,828,250,4,0,0,0,0,1,0.0,4,3,0
9855,2930,1,87,6220,972,1025,77.2771666,28.6296634,1306,200,4,0,0,0,0,1,0.0,4,3,1
18380146,3265,1,87,6230,972,1025,77.2806842,28.6300457,1306,250,4,0,0,0,0,1,0.0,4,3,1
18409189,3286,1,87,3141,972,1025,77.2813547,28.6329214,497,200,4,0,0,0,0,1,0.0,4,3,0
18377880,4456,1,87,7127,972,1025,77.2824532,28.632852,1618,300,4,0,0,0,0,1,0.0,4,3,0
18377888,4861,1,87,7112,972,1025,77.2828494,28.6334265,1306,400,4,0,0,0,0,1,0.0,4,3,1
18438465,5212,1,87,7511,972,1025,77.2788374,28.6282443,1749,150,4,0,0,0,0,1,0.0,4,3,0
18291209,5222,1,87,6534,972,1025,77.2774778,28.6307758,1630,250,4,0,0,0,0,1,0.0,4,3,0
18441710,5538,1,87,5517,972,1025,77.2807813,28.6302107,1699,200,4,0,0,0,0,1,0.0,4,3,0
18419917,6265,1,87,7291,972,1025,77.277587,28.6288096,1329,400,4,0,0,0,0,1,0.0,4,3,3
18418243,7093,1,87,3311,972,1025,77.2816189,28.6316688,1306,200,4,0,0,0,0,1,0.0,4,3,0
18441700,7099,1,87,7271,972,1025,77.280183,28.6263812,1348,250,4,0,0,0,0,1,0.0,4,3,0
311189,7363,1,87,7449,972,1025,77.2773649,28.6268353,1444,200,4,0,0,0,0,1,0.0,4,3,1
2055,178,1,87,493,973,1026,77.1601549,28.710818,1705,350,4,0,0,0,0,1,3.1,2,0,14
2383,348,1,87,3435,973,1026,77.1616827,28.7034431,518,400,4,0,0,0,0,1,2.7,2,0,11
304092,446,1,87,13,973,1026,77.1695908,28.7061721,1306,300,4,0,0,0,0,1,3.4,2,0,18
302471,467,1,87,3828,973,1026,77.1685573,28.7096099,1306,250,4,0,0,0,0,1,3.0,2,0,11
6555,636,1,87,2031,973,1026,77.1618624,28.7035499,1235,100,4,0,0,0,0,1,2.9,2,0,8
4716,680,1,87,3833,973,1026,77.1626712,28.706493,982,300,4,0,0,0,0,1,3.4,2,0,21
311364,707,1,87,5005,973,1026,77.1564702,28.7152991,1348,400,4,0,0,0,0,1,3.0,2,0,7
313494,752,1,87,3426,973,1026,77.1685706,28.7067731,1235,200,4,0,0,0,0,1,3.2,2,0,8
8628,803,1,87,1732,973,1026,77.162961,28.7065551,1262,150,4,0,0,0,0,1,3.2,2,0,24
18312595,1098,1,87,5687,973,1026,0.0,0.0,331,450,4,0,0,0,0,1,3.1,2,0,5
1501,1427,1,87,3841,973,1026,77.1587619,28.704282,1329,700,4,0,1,0,0,2,3.0,2,0,71
18383610,1475,1,87,7867,973,1026,77.1683596,28.7066682,1262,200,4,0,0,0,0,1,3.2,2,0,9
2053,1585,1,87,3434,973,1026,77.1618118,28.7032861,497,350,4,0,0,0,0,1,3.0,2,0,13
311358,2096,1,87,1709,973,1026,77.1626712,28.7064034,1626,700,4,0,0,0,0,2,3.0,2,0,28
301487,2509,1,87,3437,973,1026,77.1619683,28.70362,177,200,4,0,0,0,0,1,3.1,2,0,10
18288186,2616,1,87,8143,973,1026,77.1624915,28.7065653,986,400,4,0,0,0,0,1,3.3,2,0,13
8670,2988,1,87,2699,973,1026,77.1619523,28.7035586,828,200,4,0,0,0,0,1,3.4,2,0,53
18376510,3472,1,87,5187,973,1026,77.1625853,28.7064599,230,400,4,0,0,0,0,1,3.1,2,0,4
302452,3522,1,87,6498,973,1026,77.1620793,28.7030945,1306,150,4,0,0,0,0,1,3.0,2,0,4
2049,3919,1,87,284,973,1026,77.1613232,28.7037668,1705,500,4,0,0,0,0,2,2.7,2,0,91
304090,4095,1,87,729,973,1026,77.1586721,28.7195845,1306,350,4,0,0,0,0,1,3.1,2,0,9
6561,4200,1,87,3834,973,1026,77.1622851,28.7063745,1592,300,4,0,0,0,0,1,3.2,2,0,21
6562,4200,1,87,7396,973,1026,77.1559037,28.7057298,865,300,4,0,0,0,0,1,3.4,2,0,46
8672,4794,1,87,6221,973,1026,77.1622219,28.7031367,1306,150,4,0,0,0,0,1,2.9,2,0,6
18380175,5060,1,87,3436,973,1026,77.1616827,28.7033536,1559,600,4,0,1,0,0,2,3.2,2,0,28
301517,5228,1,87,3808,973,1026,77.1569645,28.7152123,518,400,4,0,0,0,0,1,3.1,2,0,23
312858,5570,1,87,8704,973,1026,0.0,0.0,1514,250,4,0,0,0,0,1,2.9,2,0,4
18222576,5439,1,87,3837,973,1026,77.1615029,28.7085298,828,250,4,0,0,0,0,1,2.8,2,0,11
18455522,5440,1,87,3831,973,1026,77.16011,28.710793,1329,500,4,0,0,0,0,2,3.1,2,0,4
311168,5665,1,87,7868,973,1026,77.161503,28.7054506,1329,400,4,0,0,0,0,1,3.0,2,0,9
18357957,5812,1,87,3417,973,1026,77.1673875,28.7082414,1329,500,4,0,0,0,0,2,3.1,2,0,5
306751,5900,1,87,8390,973,1026,77.153498,28.717991,190,200,4,0,0,0,0,1,3.1,2,0,12
18400759,6016,1,87,3988,973,1026,77.1586271,28.7194459,1329,600,4,0,0,0,0,2,3.3,2,0,13
8676,6083,1,87,3836,973,1026,77.1551103,28.7072568,497,350,4,0,0,0,0,1,2.8,2,0,10
18442666,6096,1,87,2584,973,1026,77.1624915,28.7063862,834,400,4,0,0,0,0,1,3.1,2,0,4
311115,6098,1,87,3431,973,1026,77.162132,28.7025908,58,500,4,0,1,0,0,2,2.6,2,0,46
303128,7009,1,87,3421,973,1026,77.1684675,28.7066464,865,300,4,0,0,0,0,1,3.3,2,0,21
18352278,7215,1,87,3167,973,1026,77.1636597,28.7068565,1329,450,4,0,1,0,0,1,2.6,2,0,7
2054,284,1,87,8466,973,1026,77.1624465,28.7063371,1329,400,4,0,0,0,0,1,3.5,5,2,79
5271,3621,1,87,1697,973,1026,77.1618624,28.7035499,186,200,4,0,0,0,0,1,3.5,5,2,51
9954,4070,1,87,1076,973,1026,77.1580581,28.713419,837,500,4,0,1,0,0,2,3.5,5,2,39
313171,4427,1,87,4900,973,1026,77.156722,28.715237,1769,200,4,0,1,0,0,1,3.5,5,2,31
2047,4891,1,87,3433,973,1026,77.1624465,28.7063371,1514,600,4,0,1,0,0,2,3.7,5,2,195
301015,5892,1,87,8034,973,1026,77.157369,28.7058943,518,450,4,0,0,0,0,1,3.8,5,2,178
300780,6064,1,87,3832,973,1026,77.1603347,28.7109248,774,100,4,0,0,0,0,1,3.5,5,2,31
18361764,494,1,87,7684,973,1026,77.1619523,28.7036481,497,300,4,0,0,0,0,1,0.0,4,3,2
18446401,529,1,87,7826,973,1026,77.1549724,28.7096778,828,350,4,0,0,0,0,1,0.0,4,3,1
18312578,1098,1,87,5367,973,1026,77.1698154,28.7090143,331,450,4,0,0,0,0,1,0.0,4,3,1
18153555,1489,1,87,3428,973,1026,77.1668006,28.7084737,1282,600,4,0,0,0,0,2,0.0,4,3,0
18454520,1606,1,87,7512,973,1026,0.0,0.0,758,300,4,0,0,0,0,1,0.0,4,3,2
18416877,1850,1,87,3404,973,1026,77.16699947,28.72818878,1618,500,4,0,1,0,0,2,0.0,4,3,1
18361770,2103,1,87,7397,973,1026,77.15665,28.7050194,1699,300,4,0,0,0,0,1,0.0,4,3,3
18214206,2569,1,87,3768,973,1026,0.0,0.0,201,300,4,0,0,0,0,1,0.0,4,3,0
18426782,2993,1,87,5263,973,1026,77.165004,28.7147586,518,500,4,0,0,0,0,2,0.0,4,3,1
18352209,3088,1,87,3438,973,1026,0.0,0.0,1318,400,4,0,0,0,0,1,0.0,4,3,1
18441688,3919,1,87,8282,973,1026,77.1626712,28.7066721,1705,500,4,0,0,0,0,2,0.0,4,3,0
18438429,4049,1,87,3432,973,1026,77.1625814,28.7062157,1306,600,4,0,1,0,0,2,0.0,4,3,2
18014115,4557,1,87,1631,973,1026,77.1590765,28.7163553,177,200,4,0,0,0,0,1,0.0,4,3,2
18489535,4559,1,87,7512,973,1026,0.0,0.0,1306,400,4,0,0,0,0,1,0.0,4,3,0
18446398,4584,1,87,5378,973,1026,0.0,0.0,986,250,4,0,0,0,0,1,0.0,4,3,1
18445788,4590,1,87,4956,973,1026,77.1566379,28.7154009,765,400,4,0,0,0,0,1,0.0,4,3,0
18361757,5201,1,87,7815,973,1026,77.1549886,28.7096363,497,300,4,0,0,0,0,1,0.0,4,3,0
18273597,5399,1,87,3719,973,1026,77.1605144,28.6896301,1306,450,4,0,0,0,0,1,0.0,4,3,0
301519,5664,1,87,1346,973,1026,77.1585449,28.7196342,1749,100,4,0,0,0,0,1,0.0,4,3,2
18445764,5665,1,87,3433,973,1026,77.1628082,28.7062081,1329,400,4,0,0,0,0,1,0.0,4,3,0
18446388,6843,1,87,7736,973,1026,77.1551135,28.7094671,828,300,4,0,0,0,0,1,0.0,4,3,2
301507,2244,1,87,3835,973,1026,77.16241,28.7064285,184,350,4,0,1,0,0,1,4.0,1,5,371
18261157,2699,1,87,7516,974,1027,77.2178366,28.620766,1638,3500,4,1,0,0,0,4,3.4,2,0,27
18277024,5677,1,87,7516,974,1027,77.2177468,28.6206678,497,5000,4,1,0,0,0,4,3.7,5,2,65
